coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
"{'lon': -68.3, 'lat': -54.8}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 41, 'feels_like': 34.95, 'temp_min': 41, 'temp_max': 41, 'pressure': 1019, 'humidity': 75}",10000,"{'speed': 4.85, 'deg': 2}",{'all': 40},1603246959,"{'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1603185018, 'sunset': 1603236311}",-10800,3833367,Ushuaia,200,,
"{'lon': -103.68, 'lat': 18.73}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 80.47, 'feels_like': 89.46, 'temp_min': 80.47, 'temp_max': 80.47, 'pressure': 1009, 'humidity': 84, 'sea_level': 1009, 'grnd_level': 1007}",10000,"{'speed': 2.64, 'deg': 287}",{'all': 99},1603247070,"{'country': 'MX', 'sunrise': 1603198213, 'sunset': 1603240095}",-18000,4013679,Coahuayana Viejo,200,,
"{'lon': 147.33, 'lat': -42.88}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 63.27, 'feels_like': 58.78, 'temp_min': 60.8, 'temp_max': 66.99, 'pressure': 1014, 'humidity': 51}",10000,"{'speed': 5.82, 'deg': 130}",{'all': 40},1603246773,"{'type': 1, 'id': 9545, 'country': 'AU', 'sunrise': 1603221000, 'sunset': 1603269619}",39600,2163355,Hobart,200,,
"{'lon': -111.73, 'lat': 40.04}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 57.07, 'feels_like': 51.82, 'temp_min': 55.99, 'temp_max': 57.99, 'pressure': 1016, 'humidity': 62}",10000,"{'speed': 6.93, 'deg': 320}",{'all': 1},1603247070,"{'type': 1, 'id': 5442, 'country': 'US', 'sunrise': 1603201392, 'sunset': 1603240780}",-21600,5779548,Payson,200,,
"{'lon': 172.79, 'lat': 3.07}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 82.38, 'feels_like': 85.68, 'temp_min': 82.38, 'temp_max': 82.38, 'pressure': 1007, 'humidity': 73, 'sea_level': 1007, 'grnd_level': 1007}",10000,"{'speed': 10.36, 'deg': 124}",{'all': 46},1603246963,"{'country': 'KI', 'sunrise': 1603217536, 'sunset': 1603260863}",43200,2110227,Butaritari,200,,
"{'lon': 117.89, 'lat': -35.02}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 64.4, 'feels_like': 55.35, 'temp_min': 64.4, 'temp_max': 64.4, 'pressure': 1016, 'humidity': 59}",10000,"{'speed': 16.11, 'deg': 120}",{'all': 75},1603246991,"{'type': 1, 'id': 9484, 'country': 'AU', 'sunrise': 1603228691, 'sunset': 1603276057}",28800,2077963,Albany,200,{'1h': 0.12},
"{'lon': -134.97, 'lat': -23.12}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 74.08, 'feels_like': 74.41, 'temp_min': 74.08, 'temp_max': 74.08, 'pressure': 1016, 'humidity': 75, 'sea_level': 1016, 'grnd_level': 1013}",10000,"{'speed': 9.31, 'deg': 38}",{'all': 24},1603246961,"{'country': 'PF', 'sunrise': 1603203738, 'sunset': 1603249588}",-32400,4030556,Rikitea,200,,
"{'lon': -90.35, 'lat': -0.74}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 69.01, 'feels_like': 70.48, 'temp_min': 69.01, 'temp_max': 69.01, 'pressure': 1012, 'humidity': 92}",10000,"{'speed': 8.01, 'deg': 225, 'gust': 11.99}",{'all': 94},1603246987,"{'type': 3, 'id': 2005652, 'country': 'EC', 'sunrise': 1603194120, 'sunset': 1603237792}",-21600,3652764,Puerto Ayora,200,,
"{'lon': -86.95, 'lat': 49.73}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 30.2, 'feels_like': 23.81, 'temp_min': 30.2, 'temp_max': 30.2, 'pressure': 1022, 'humidity': 80}",10000,"{'speed': 3.36, 'deg': 90}",{'all': 90},1603247071,"{'type': 1, 'id': 810, 'country': 'CA', 'sunrise': 1603196278, 'sunset': 1603234002}",-14400,5960603,Geraldton,200,,
"{'lon': 159.23, 'lat': 61.95}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 35.35, 'feels_like': 29.68, 'temp_min': 35.35, 'temp_max': 35.35, 'pressure': 1014, 'humidity': 84, 'sea_level': 1014, 'grnd_level': 1008}",10000,"{'speed': 3.47, 'deg': 6}",{'all': 100},1603247071,"{'country': 'RU', 'sunrise': 1603225380, 'sunset': 1603259527}",39600,2125693,Evensk,200,,
"{'lon': 82.47, 'lat': 65.7}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,"{'temp': 25.81, 'feels_like': 15.39, 'temp_min': 25.81, 'temp_max': 25.81, 'pressure': 1003, 'humidity': 98, 'sea_level': 1003, 'grnd_level': 1002}",168,"{'speed': 10.63, 'deg': 139}",{'all': 100},1603247072,"{'country': 'RU', 'sunrise': 1603244718, 'sunset': 1603277030}",18000,1502073,Krasnosel'kup,200,,{'1h': 0.36}
"{'lon': 138.95, 'lat': 34.67}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 63.55, 'feels_like': 50.54, 'temp_min': 61, 'temp_max': 66.2, 'pressure': 1025, 'humidity': 55}",10000,"{'speed': 21.92, 'deg': 30}",{'all': 20},1603247072,"{'type': 1, 'id': 8070, 'country': 'JP', 'sunrise': 1603227277, 'sunset': 1603267363}",32400,1852357,Shimoda,200,,
"{'lon': -127.42, 'lat': 50.7}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 48.2, 'feels_like': 44.62, 'temp_min': 48.2, 'temp_max': 48.2, 'pressure': 1021, 'humidity': 81}",10000,"{'speed': 3.36, 'deg': 190}",{'all': 75},1603247072,"{'type': 1, 'id': 1011, 'country': 'CA', 'sunrise': 1603206104, 'sunset': 1603243599}",-25200,6111862,Port Hardy,200,,
"{'lon': 19.23, 'lat': -34.42}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 51.01, 'feels_like': 48.54, 'temp_min': 51.01, 'temp_max': 51.01, 'pressure': 1021, 'humidity': 85}",10000,"{'speed': 3, 'deg': 153, 'gust': 8.01}",{'all': 0},1603246665,"{'type': 3, 'id': 2003650, 'country': 'ZA', 'sunrise': 1603252392, 'sunset': 1603299707}",7200,3366880,Hermanus,200,,
"{'lon': 167.68, 'lat': -46.13}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 57, 'feels_like': 49.06, 'temp_min': 57, 'temp_max': 57, 'pressure': 1019, 'humidity': 58}",10000,"{'speed': 11.01, 'deg': 223, 'gust': 18.01}",{'all': 68},1603246701,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1603215809, 'sunset': 1603265043}",46800,2180815,Tuatapere,200,,
"{'lon': 58.14, 'lat': 48.83}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 38.64, 'feels_like': 29.07, 'temp_min': 38.64, 'temp_max': 38.64, 'pressure': 1016, 'humidity': 76, 'sea_level': 1016, 'grnd_level': 988}",10000,"{'speed': 10.58, 'deg': 304}",{'all': 19},1603247072,"{'country': 'KZ', 'sunrise': 1603247821, 'sunset': 1603285604}",18000,609924,Emba,200,,
