base,visibility,dt,timezone,id,name,cod,rain,snow,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,speed,deg,gust,type,id.1,country,sunrise,sunset,0,1,2,3,all
stations,10000,1603246959,-10800,3833367,Ushuaia,200,,,-68.3,-54.8,41.0,34.95,41.0,41.0,1019.0,75.0,,,4.85,2.0,,1.0,8303.0,AR,1603185018,1603236311,"{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}",,,,40
stations,10000,1603247070,-18000,4013679,Coahuayana Viejo,200,,,-103.68,18.73,80.47,89.46,80.47,80.47,1009.0,84.0,1009.0,1007.0,2.64,287.0,,,,MX,1603198213,1603240095,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}",,,,99
stations,10000,1603246773,39600,2163355,Hobart,200,,,147.33,-42.88,63.27,58.78,60.8,66.99,1014.0,51.0,,,5.82,130.0,,1.0,9545.0,AU,1603221000,1603269619,"{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}",,,,40
stations,10000,1603247070,-21600,5779548,Payson,200,,,-111.73,40.04,57.07,51.82,55.99,57.99,1016.0,62.0,,,6.93,320.0,,1.0,5442.0,US,1603201392,1603240780,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,1
stations,10000,1603246963,43200,2110227,Butaritari,200,,,172.79,3.07,82.38,85.68,82.38,82.38,1007.0,73.0,1007.0,1007.0,10.36,124.0,,,,KI,1603217536,1603260863,"{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}",,,,46
stations,10000,1603246991,28800,2077963,Albany,200,{'1h': 0.12},,117.89,-35.02,64.4,55.35,64.4,64.4,1016.0,59.0,,,16.11,120.0,,1.0,9484.0,AU,1603228691,1603276057,"{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}",,,,75
stations,10000,1603246961,-32400,4030556,Rikitea,200,,,-134.97,-23.12,74.08,74.41,74.08,74.08,1016.0,75.0,1016.0,1013.0,9.31,38.0,,,,PF,1603203738,1603249588,"{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}",,,,24
stations,10000,1603246987,-21600,3652764,Puerto Ayora,200,,,-90.35,-0.74,69.01,70.48,69.01,69.01,1012.0,92.0,,,8.01,225.0,11.99,3.0,2005652.0,EC,1603194120,1603237792,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}",,,,94
stations,10000,1603247071,-14400,5960603,Geraldton,200,,,-86.95,49.73,30.2,23.81,30.2,30.2,1022.0,80.0,,,3.36,90.0,,1.0,810.0,CA,1603196278,1603234002,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}",,,,90
stations,10000,1603247071,39600,2125693,Evensk,200,,,159.23,61.95,35.35,29.68,35.35,35.35,1014.0,84.0,1014.0,1008.0,3.47,6.0,,,,RU,1603225380,1603259527,"{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}",,,,100
stations,168,1603247072,18000,1502073,Krasnosel'kup,200,,{'1h': 0.36},82.47,65.7,25.81,15.39,25.81,25.81,1003.0,98.0,1003.0,1002.0,10.63,139.0,,,,RU,1603244718,1603277030,"{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}",,,,100
stations,10000,1603247072,32400,1852357,Shimoda,200,,,138.95,34.67,63.55,50.54,61.0,66.2,1025.0,55.0,,,21.92,30.0,,1.0,8070.0,JP,1603227277,1603267363,"{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}",,,,20
stations,10000,1603247072,-25200,6111862,Port Hardy,200,,,-127.42,50.7,48.2,44.62,48.2,48.2,1021.0,81.0,,,3.36,190.0,,1.0,1011.0,CA,1603206104,1603243599,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}",,,,75
stations,10000,1603246665,7200,3366880,Hermanus,200,,,19.23,-34.42,51.01,48.54,51.01,51.01,1021.0,85.0,,,3.0,153.0,8.01,3.0,2003650.0,ZA,1603252392,1603299707,"{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}",,,,0
stations,10000,1603246701,46800,2180815,Tuatapere,200,,,167.68,-46.13,57.0,49.06,57.0,57.0,1019.0,58.0,,,11.01,223.0,18.01,3.0,2008959.0,NZ,1603215809,1603265043,"{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}",,,,68
