id,name,country,latitude,longitude,temp,temp_max,temp_min,humidity,cloudiness,wind_speed
3833367,Ushuaia,AR,-54.8,-68.3,41.0,41.0,41.0,75.0,40,4.85
4013679,Coahuayana Viejo,MX,18.73,-103.68,80.47,80.47,80.47,84.0,99,2.64
2163355,Hobart,AU,-42.88,147.33,63.27,66.99,60.8,51.0,40,5.82
5779548,Payson,US,40.04,-111.73,57.07,57.99,55.99,62.0,1,6.93
2110227,Butaritari,KI,3.07,172.79,82.38,82.38,82.38,73.0,46,10.36
2077963,Albany,AU,-35.02,117.89,64.4,64.4,64.4,59.0,75,16.11
4030556,Rikitea,PF,-23.12,-134.97,74.08,74.08,74.08,75.0,24,9.31
3652764,Puerto Ayora,EC,-0.74,-90.35,69.01,69.01,69.01,92.0,94,8.01
5960603,Geraldton,CA,49.73,-86.95,30.2,30.2,30.2,80.0,90,3.36
2125693,Evensk,RU,61.95,159.23,35.35,35.35,35.35,84.0,100,3.47
1502073,Krasnosel'kup,RU,65.7,82.47,25.81,25.81,25.81,98.0,100,10.63
1852357,Shimoda,JP,34.67,138.95,63.55,66.2,61.0,55.0,20,21.92
6111862,Port Hardy,CA,50.7,-127.42,48.2,48.2,48.2,81.0,75,3.36
3366880,Hermanus,ZA,-34.42,19.23,51.01,51.01,51.01,85.0,0,3.0
2180815,Tuatapere,NZ,-46.13,167.68,57.0,57.0,57.0,58.0,68,11.01
609924,Emba,KZ,48.83,58.14,38.64,38.64,38.64,76.0,19,10.58
3874787,Punta Arenas,CL,-53.15,-70.92,41.0,41.0,41.0,75.0,75,5.82
4020109,Atuona,PF,-9.8,-139.03,77.97,77.97,77.97,75.0,79,15.12
1488616,Uk,RU,55.08,98.86,35.13,35.13,35.13,86.0,100,7.29
2460954,Araouane,ML,18.9,-3.53,83.62,83.62,83.62,19.0,0,9.35
876177,Luau,AO,-10.71,22.22,65.73,65.73,65.73,73.0,4,2.93
4032243,Vaini,TO,-21.2,-175.2,75.2,75.2,75.2,69.0,75,6.93
1490256,Talnakh,RU,69.49,88.4,8.6,8.6,8.6,84.0,63,2.24
2012530,Zhigansk,RU,66.77,123.37,18.03,18.03,18.03,96.0,100,0.69
1106677,Bambous Virieux,MU,-20.34,57.76,74.16,75.0,73.4,83.0,40,10.29
