coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain
"{'lon': -3.3, 'lat': 58.97}","[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",stations,"{'temp': 50, 'feels_like': 43.97, 'temp_min': 50, 'temp_max': 50, 'pressure': 1004, 'humidity': 87}",10000,"{'speed': 9.17, 'deg': 100}",{'all': 75},1603118925,"{'type': 1, 'id': 1437, 'country': 'GB', 'sunrise': 1603090820, 'sunset': 1603126533}",3600,2636638,Stromness,200,
"{'lon': -68.3, 'lat': -54.8}","[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",stations,"{'temp': 35.6, 'feels_like': 11.8, 'temp_min': 35.6, 'temp_max': 35.6, 'pressure': 987, 'humidity': 100}",5000,"{'speed': 36.91, 'deg': 230}",{'all': 90},1603118925,"{'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1603098760, 'sunset': 1603149789}",-10800,3833367,Ushuaia,200,
"{'lon': 147.06, 'lat': -42.78}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 44.29, 'feels_like': 40.17, 'temp_min': 44.01, 'temp_max': 45, 'pressure': 1016, 'humidity': 76}",10000,"{'speed': 2.46, 'deg': 287}",{'all': 63},1603118925,"{'type': 3, 'id': 2031307, 'country': 'AU', 'sunrise': 1603134767, 'sunset': 1603183200}",39600,2155415,New Norfolk,200,
"{'lon': -159.32, 'lat': 22.08}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 73, 'feels_like': 73.65, 'temp_min': 73, 'temp_max': 73, 'pressure': 1011, 'humidity': 76}",10000,"{'speed': 8.23, 'deg': 223}",{'all': 2},1603118926,"{'type': 1, 'id': 7873, 'country': 'US', 'sunrise': 1603125312, 'sunset': 1603166921}",-36000,5848280,Kapaa,200,
"{'lon': 169.85, 'lat': -46.28}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 46, 'feels_like': 42.39, 'temp_min': 46, 'temp_max': 46, 'pressure': 990, 'humidity': 84}",10000,"{'speed': 3, 'deg': 270, 'gust': 3}",{'all': 39},1603118751,"{'type': 3, 'id': 2031989, 'country': 'NZ', 'sunrise': 1603128978, 'sunset': 1603178051}",46800,2208248,Kaitangata,200,
"{'lon': -70.92, 'lat': -53.15}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 42.4, 'feels_like': 19.62, 'temp_min': 42.01, 'temp_max': 42.8, 'pressure': 995, 'humidity': 70}",10000,"{'speed': 34.45, 'deg': 270, 'gust': 46.08}",{'all': 40},1603118926,"{'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1603099616, 'sunset': 1603150190}",-10800,3874787,Punta Arenas,200,
"{'lon': -5.72, 'lat': -15.94}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 61.68, 'feels_like': 53.51, 'temp_min': 61.68, 'temp_max': 61.68, 'pressure': 1016, 'humidity': 98, 'sea_level': 1016, 'grnd_level': 969}",10000,"{'speed': 21.07, 'deg': 117}",{'all': 71},1603118926,"{'country': 'SH', 'sunrise': 1603086743, 'sunset': 1603131771}",0,3370903,Jamestown,200,
"{'lon': -90.35, 'lat': -0.74}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 71.01, 'feels_like': 70.56, 'temp_min': 71.01, 'temp_max': 71.01, 'pressure': 1013, 'humidity': 88}",10000,"{'speed': 11.99, 'deg': 204, 'gust': 18.99}",{'all': 100},1603118927,"{'type': 3, 'id': 2005652, 'country': 'EC', 'sunrise': 1603107731, 'sunset': 1603151400}",-21600,3652764,Puerto Ayora,200,
"{'lon': 20.8, 'lat': -6.42}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 88.07, 'feels_like': 96.37, 'temp_min': 88.07, 'temp_max': 88.07, 'pressure': 1004, 'humidity': 61, 'sea_level': 1004, 'grnd_level': 955}",10000,"{'speed': 1.52, 'deg': 281}",{'all': 20},1603118927,"{'country': 'CD', 'sunrise': 1603080813, 'sunset': 1603124973}",7200,204953,Tshikapa,200,{'1h': 0.37}
"{'lon': 172.79, 'lat': 3.07}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 81.73, 'feels_like': 84.02, 'temp_min': 81.73, 'temp_max': 81.73, 'pressure': 1007, 'humidity': 73, 'sea_level': 1007, 'grnd_level': 1007}",10000,"{'speed': 11.54, 'deg': 100}",{'all': 100},1603118737,"{'country': 'KI', 'sunrise': 1603131141, 'sunset': 1603174478}",43200,2110227,Butaritari,200,
